word,frequency,documents
teenage,2,1 39
dream,5,1 9 38 39 44
katy,2,1 39
perry,2,1 39
2010,4,1 16 39 47
pop,22,1 3 4 7 13 14 23 25 26 27 30 31 33 34 36 39 41 54 59 60 61 64
you,57,1 2 3 4 5 6 7 8 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 30 31 33 34 36 37 38 39 40 41 42 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 63 64
think,11,1 2 4 5 16 20 27 36 47 50 51
im,44,1 3 4 6 7 9 10 11 13 15 16 17 19 20 21 23 24 25 27 29 33 34 35 36 37 38 40 42 43 45 49 50 51 52 54 55 56 58 59 60 61 62 63 64
pretty,6,1 13 33 36 41 51
without,9,1 17 23 27 34 40 41 47 58
any,7,1 6 9 23 28 50 53
makeup,2,1 43
on,39,1 3 6 10 12 13 15 16 17 23 24 25 27 29 30 33 34 35 37 38 39 40 41 42 43 44 45 46 49 50 51 52 53 54 57 58 60 62 64
funny,2,1 40
when,32,1 2 3 6 8 9 10 14 15 19 22 25 26 30 31 34 37 39 40 41 42 45 47 51 52 54 56 57 60 61 63 64
i,57,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 19 20 21 22 23 25 26 27 28 29 30 31 33 34 35 36 37 40 41 42 43 45 46 47 48 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64
tell,18,1 2 6 7 9 10 13 17 19 31 33 34 36 40 41 46 47 48
the,60,1 2 3 4 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 59 60 61 62 64
punch,1,1
line,2,1 43
wrong,2,1 41
know,38,1 3 4 6 7 8 9 10 14 17 19 20 23 25 26 27 29 31 33 36 37 38 39 40 41 42 43 44 47 51 52 55 58 59 60 62 63 64
get,26,1 3 4 5 6 9 10 12 15 18 21 23 26 33 34 38 40 42 48 50 51 52 53 58 61 62
me,50,1 2 4 6 7 8 9 10 13 14 15 16 17 18 19 20 21 23 25 26 27 29 30 31 32 33 34 35 36 37 40 41 42 44 45 46 47 48 49 50 51 52 53 54 55 56 58 59 61 64
so,37,1 3 4 5 6 7 8 9 13 14 15 20 22 23 24 26 33 36 37 38 39 40 42 45 46 47 48 50 51 54 55 56 57 60 62 63 64
let,21,1 2 4 7 8 15 17 23 30 34 35 37 39 40 41 45 47 50 51 53 64
my,50,1 2 3 6 7 8 9 10 13 14 15 16 17 20 21 22 24 25 26 27 29 30 31 33 34 35 36 37 40 42 43 44 45 46 48 49 50 51 52 53 54 55 57 58 59 60 61 62 63 64
walls,1,1
come,18,1 5 6 8 13 14 15 17 30 33 37 39 40 45 46 50 54 60
down,23,1 7 8 15 16 17 21 23 26 27 31 33 35 38 40 45 49 50 52 53 55 57 60
before,10,1 13 23 30 33 34 38 52 54 56
met,4,1 16 19 22
was,18,1 9 10 14 15 19 26 27 28 35 41 42 45 46 54 56 61 62
alright,2,1 54
but,41,1 3 5 6 7 8 9 11 13 14 15 16 20 21 22 23 25 26 27 30 31 35 36 37 38 39 40 41 42 43 47 48 50 51 52 54 55 56 60 61 63
things,7,1 3 4 8 13 16 60
were,16,1 3 4 10 18 19 25 27 44 45 46 49 56 57 60 62
kinda,1,1
heavy,3,1 15 62
brought,1,1
to,58,1 2 3 4 6 7 8 9 10 11 12 13 14 15 16 17 18 19 21 22 23 24 25 26 27 29 30 31 33 34 35 36 37 38 39 40 41 42 43 44 45 47 48 49 50 51 52 53 54 55 56 57 58 60 61 62 63 64
life,16,1 3 5 6 9 10 11 15 20 23 27 30 42 45 48 50
now,36,1 2 3 7 8 10 13 14 15 16 17 19 22 23 24 25 27 29 30 31 35 36 37 38 39 41 43 44 49 50 51 52 57 61 62 63
every,15,1 3 6 16 20 23 25 36 37 41 42 45 47 48 52
february,1,1
youll,12,1 2 7 8 11 13 17 23 27 38 39 52
be,38,1 2 6 7 8 11 12 13 15 16 17 20 22 23 24 25 27 28 31 34 35 36 37 38 39 40 42 43 44 46 48 49 51 52 53 54 59 62
valentine,1,1
lets,7,1 3 4 37 48 52 54
go,26,1 3 4 6 15 16 17 20 26 28 30 32 35 36 37 39 40 41 43 49 50 51 52 54 55 64
all,44,1 3 4 5 6 8 9 10 11 15 16 17 18 19 20 21 23 25 26 27 35 36 37 39 40 41 42 43 45 46 47 49 50 51 52 53 55 57 58 59 60 61 62 63
way,26,1 5 6 7 9 10 13 17 18 20 26 27 31 37 38 40 45 47 49 50 53 54 57 60 61 62
tonight,7,1 3 4 23 25 37 54
no,39,1 4 5 6 7 8 10 11 14 15 16 17 23 25 26 28 29 30 31 32 34 36 37 38 39 40 42 44 45 48 49 50 51 52 55 59 60 61 64
regrets,1,1
just,39,1 3 4 5 6 10 13 15 16 17 18 23 24 25 26 27 29 30 33 34 35 36 37 38 39 40 41 45 47 48 50 51 52 53 55 56 60 63 64
love,36,1 2 3 4 6 7 8 9 13 15 16 20 21 22 25 26 27 30 34 36 40 41 42 44 45 46 50 52 55 57 58 59 61 62 63 64
we,28,1 3 4 8 10 14 15 16 17 19 20 22 24 29 31 33 34 36 37 40 42 43 46 50 51 57 60 62
can,26,1 3 6 8 10 11 14 15 16 17 19 23 30 31 36 37 40 43 46 48 50 52 54 60 63 64
dance,7,1 18 33 37 46 54 60
until,4,1 29 37 64
die,7,1 6 11 43 45 50 62
