word,frequency,documents
and,55,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 29 30 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 50 52 53 55 57 59 60 62 63 64
will,22,1 3 4 8 9 11 16 20 23 24 28 29 30 34 37 38 39 43 50 54 55 64
young,5,1 3 9 42 52
forever,3,1 8 9
make,25,1 3 4 6 13 15 16 18 23 26 33 36 37 38 39 40 45 47 48 50 51 52 54 57 62
feel,22,1 2 3 4 6 7 10 13 17 23 26 29 30 37 38 39 42 45 48 58 60 64
like,31,1 3 4 6 7 13 15 17 27 29 34 35 36 37 38 39 40 42 43 44 45 47 48 49 51 52 54 56 58 62 64
livin,3,1 33 57
a,55,1 2 3 4 5 6 9 10 11 13 15 16 17 18 19 21 23 24 26 27 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64
turn,8,1 7 13 16 42 53 60 64
cant,24,1 2 4 5 6 8 9 10 14 15 16 17 21 30 31 34 35 37 42 50 51 60 63 64
sleep,4,1 7 42 64
run,8,1 8 15 21 23 37 42 56
away,5,1 21 27 50 57
dont,39,1 4 6 7 8 9 14 15 16 17 19 20 24 25 26 27 28 30 31 33 36 37 38 39 40 44 45 46 47 49 50 51 52 54 55 56 59 60 64
ever,9,1 6 8 13 15 23 27 38 39
look,18,1 4 10 14 15 16 27 35 40 41 47 49 50 52 53 55 56 64
back,18,1 6 7 8 15 16 17 19 24 27 36 37 41 42 45 50 52 53
heart,20,1 7 8 9 16 21 23 25 26 30 31 34 38 39 41 43 48 52 53 54
stops,3,1 23 47
at,18,1 7 8 14 21 23 25 27 29 30 36 42 49 50 51 52 55 62
one,18,1 6 7 11 13 15 16 25 26 31 33 34 38 39 41 48 51 64
touch,4,1 2 59 64
baby,22,1 3 4 7 8 13 15 16 17 22 25 32 34 37 39 41 46 50 54 57 59 64
believe,8,1 3 14 15 31 33 38 47
this,29,1 4 6 9 12 15 17 20 23 26 27 29 33 34 35 36 37 40 41 42 45 48 50 51 52 53 55 60 64
is,29,1 3 5 6 8 9 15 17 18 20 23 25 26 30 34 35 36 37 38 40 41 42 43 44 45 50 52 53 61
real,7,1 4 36 37 42 48 50
take,23,1 3 8 17 19 21 24 26 30 33 34 38 40 41 42 43 45 46 51 52 54 57 60
chance,7,1 9 15 23 39 41 43
drove,2,1 52
cali,2,1 42
got,26,1 2 3 4 7 10 15 17 24 25 27 30 33 34 36 37 42 46 48 50 52 57 60 61 62 63
drunk,2,1 7
beach,1,1
motel,1,1
built,1,1
fort,1,1
out,30,1 3 5 6 7 8 14 15 16 21 23 24 29 33 34 35 38 40 41 42 44 45 48 50 52 54 56 61 62 64
of,44,1 3 6 7 8 9 10 11 12 13 15 16 19 20 23 24 25 27 28 30 31 33 35 36 37 38 39 40 41 42 43 44 45 48 50 51 52 53 57 59 61 62 63 64
sheets,1,1
finally,3,1 7 16
found,3,1 23 29
missing,1,1
puzzle,1,1
piece,2,1 16
complete,3,1 3 6
ima,4,1 3 8 15
your,45,1 2 3 5 6 8 12 13 15 16 17 19 20 21 23 24 26 27 29 31 33 34 35 36 37 38 39 40 41 42 44 46 47 48 49 50 51 52 53 54 56 59 60 62 64
racing,1,1
in,49,1 3 4 6 7 8 9 11 13 14 15 16 20 22 23 24 25 26 27 28 33 34 35 36 37 39 40 41 42 43 44 45 46 48 49 50 52 53 54 55 56 57 58 59 60 61 62 63 64
skintight,1,1
jeans,1,1
put,8,1 4 33 42 46 50 54 58
hands,6,1 6 9 14 16 62
oh,35,1 2 3 4 10 13 14 15 19 23 24 25 26 29 31 32 33 34 37 38 41 42 45 47 48 49 50 54 55 56 57 58 60 63 64
want,21,2 3 4 6 12 15 25 31 35 37 40 41 42 43 50 51 52 55 56 58 59
hold,15,2 12 13 15 17 23 30 34 36 38 40 43 45 55 57
hand,8,2 8 16 23 34 55 57 59
beatles,1,2
1963,1,2
rock/pop,2,2 11
please,6,2 4 20 34 41 51
yeah,35,2 3 4 7 8 10 17 22 23 25 27 29 30 31 32 36 37 38 40 41 42 43 45 46 47 48 49 50 52 53 54 60 61 62 64
ill,18,2 4 6 8 10 13 16 20 23 34 42 43 47 48 51 52 58 63
somethin,3,2 52 60
understand,5,2 9 10 40 63
say,21,2 9 11 17 21 26 31 33 37 38 40 42 45 47 48 51 52 53 58 63 64
that,40,2 5 6 8 9 13 15 16 17 20 23 25 26 27 30 31 33 34 36 37 38 39 40 41 42 44 45 46 47 48 51 52 53 54 57 58 59 60 62 63
man,13,2 8 10 11 15 24 33 37 48 50 55 57 63
happy,4,2 6 17 56
inside,9,2 15 16 23 31 39 40 43 60
its,40,2 3 5 6 8 9 10 11 14 15 16 21 23 24 26 27 29 30 31 33 34 35 36 37 38 39 41 42 44 45 46 47 48 51 53 54 55 57 59 60
such,2,2 18
feelin,5,2 13 52 58 60
hide,5,2 4 26 27 60
sometimes,2,2 50
beauty,2,3 36
beat,7,3 15 16 18 21 42 46
justin,2,3 60
bieber,1,3
ft,6,3 8 21 37 42 48
nicki,1,3
minaj,1,3
2012,1,3
money,5,3 33 40 42 52
grr,1,3
show,10,3 4 26 33 34 39 40 41 43 64
off,9,3 13 14 15 35 40 42 45 60
wanna,13,3 13 15 17 31 33 34 37 52 54 56 59 60
ay,2,3 32
what,28,3 4 6 15 16 17 19 20 25 26 27 29 33 34 37 39 40 41 43 45 47 51 52 53 54 56 57 63
youve,7,3 16 20 25 26 28 57
billion,1,3
couldve,2,3 16
never,27,3 5 7 8 13 14 15 16 25 27 28 29 31 35 37 38 40 43 47 50 52 53 54 55 62 63 64
bought,1,3
gonna,12,3 4 6 7 8 16 23 24 39 49 62 63
party,3,3 25 49
3012,1,3
finer,1,3
forget,5,3 29 38 41 48
about,11,3 4 6 17 23 33 36 40 42 46 48
world,15,3 6 8 9 11 12 15 26 37 42 47 48 56 62 63
coming,5,3 8 25 27 35
for,40,3 4 5 6 8 9 11 12 13 15 16 18 19 23 24 26 27 28 29 30 33 37 39 40 41 42 43 45 46 47 48 50 51 52 53 57 61 62 63 64
ya,7,3 13 32 36 41 42 52
cause,28,3 7 8 13 15 23 25 30 31 33 34 35 36 37 38 39 41 42 46 47 48 51 52 54 55 59 60 64
need,16,3 6 8 11 20 27 30 40 41 49 50 52 55 58 59 60
who,8,3 12 15 19 21 26 33 40
bout,4,3 25 33 36
music,5,3 6 10 15 18
makes,6,3 7 29 54 56 63
move,11,3 4 15 18 36 37 45 52 54 59 60
do,26,3 4 6 7 11 15 16 17 18 19 26 28 29 34 36 37 39 41 47 49 50 51 52 54 60 64
it,49,3 4 5 6 7 8 11 13 14 15 16 17 18 21 23 24 26 28 29 30 31 33 34 35 36 37 38 39 40 41 42 43 45 46 48 49 50 51 52 53 54 55 56 57 59 60 61 62 64
body,5,3 23 37 56 60
rock,16,3 6 24 28 35 42 43 44 46 49 50 56 57 58 60 62
girl,10,3 8 13 23 37 38 41 42 47 63
bow,2,3 26
youre,27,3 5 6 7 8 10 13 16 18 23 25 26 34 36 38 39 40 42 44 47 48 51 54 55 56 59 64
hottest,1,3
ticket,2,3 49
uh,6,3 33 36 42 52 60
time,26,3 4 5 6 9 10 13 17 23 24 27 28 30 39 40 42 45 46 47 49 50 52 53 57 63 64
ink,1,3
lines,3,3 26 45
bitches,2,3 36
couldnt,3,3 56 61
incline,1,3
tours,1,3
mine,10,3 13 15 16 25 30 42 53 59 63
ten,2,3 6
little,9,3 8 27 29 34 36 40 50 52
letters,1,3
big,4,3 6 52 54
sign,2,3 33
hit,8,3 33 34 40 42 52 54 64
em,8,3 7 26 34 36 39 40 52
with,30,3 6 8 13 14 15 16 17 19 20 23 24 25 26 29 33 34 35 37 40 42 43 44 46 51 52 54 55 63 64
ether,1,3
buns,1,3
wiener,1,3
gotta,10,3 7 28 33 35 39 40 50 52 57
keep,12,3 7 12 13 16 24 30 37 40 42 45 60
an,8,3 8 26 29 38 53 56 63
eye,4,3 24 50 56
selena,1,3
beast,2,3 23
from,19,3 6 7 13 15 23 25 27 31 36 37 39 41 42 45 48 50 58 63
east,2,3 6
beautiful,3,3 47 56
confessions,1,3
priest,1,3
streets,2,3 42
deceased,1,3
eats,1,3
needed,2,3 61
excited,1,4
pointer,1,4
sisters,1,4
1982,4,4 23 24 53
tonights,1,4
night,19,4 7 10 14 18 19 23 24 26 30 33 36 39 41 50 53 54 57 64
happen,2,4 62
well,17,4 8 9 10 13 17 26 27 29 33 40 42 46 48 54 57 60
other,6,4 6 8 10 38 57
aside,2,4 50
give,10,4 13 15 17 30 33 40 41 48 57
some,10,4 6 12 13 19 30 33 42 52 55
affection,1,4
goin,3,4 10 46
those,3,4 41 60
pleasures,1,4
wrap,1,4
myself,6,4 7 9 19 33 41
around,12,4 10 13 26 38 41 44 49 51 53 56 64
squeeze,1,4
enough,5,4 5 48 51 64
if,28,4 6 7 8 9 10 11 15 17 20 23 27 33 34 36 39 40 42 45 47 48 50 51 52 56 57 58 61
slow,5,4 37 45 48 49
lose,7,4 6 10 15 21 24 29
control,8,4 35 38 44 45 51 56 60
shouldnt,3,4 52 60
even,9,4 6 15 39 41 42 47 51 64
tomorrow,3,4 50 54
sweet,5,4 6 12 14 45
memories,2,4 20
last,4,4 24 42 54
long,11,4 5 22 30 40 41 46 57 59 63 64
have,18,4 7 8 9 14 15 16 20 21 30 37 39 40 43 52 53 56 64
good,8,4 8 14 33 48 51 55 60
worry,2,4 36
still,11,4 7 8 24 27 39 40 42 43 45 55
playin,2,4 46
boy,4,4 6 37 50
thats,16,4 5 8 9 10 15 17 18 34 36 37 45 52 57 61 63
fine,6,4 9 17 35 52 63
yes,6,4 31 40 41 49 61
honey,2,4 56
burning,2,4 44
up,30,4 7 9 12 13 14 15 21 23 24 25 27 29 33 35 36 37 40 42 45 46 48 50 52 53 54 58 60 63 64
how,14,4 6 14 15 16 18 26 29 30 35 40 42 45 64
did,5,4 27 35 52 54
ive,14,4 10 13 14 15 16 19 26 35 40 42 50 63 64
ooh,13,4 8 13 23 36 38 40 41 43 53 57 60 64
busy,1,5
earnin,1,5
jungle,2,5 6
2014,5,5 22 33 36 55
funk,3,5 23 33
huh,3,5 41 42
woohoo,1,5
late,4,5 31 41 50
had,9,5 15 16 19 24 40 41 50 63
plans,2,5 9
normal,3,5 15 32
crime,2,5 43
too,17,5 7 9 11 15 17 24 27 31 33 37 40 41 42 49 50 64
used,4,5 12 31 57
always,10,5 8 18 20 24 26 29 39 41 51
bet,2,5 63
wont,12,5 15 16 21 34 36 38 41 45 47 51 55
change,7,5 15 23 38 40 47 48
damn,5,5 33 40 42 52
borin,1,5
stop,7,6 24 33 36 49 50 60
red,2,6 51
hot,9,6 17 33 34 35 42 48 60 63
chili,1,6
peppers,1,6
2002,2,6 15
by,12,6 7 9 10 12 13 15 17 19 27 46 64
addicted,1,6
shindig,1,6
chop,1,6
top,5,6 24 36 42 43
he,9,6 7 15 34 35 42 46 52 57
says,3,6 36 57
win,3,6 27 63
choose,1,6
not,22,6 9 11 15 19 20 21 24 25 28 34 38 42 47 50 52 54 55 56 57 61 63
imitation,1,6
distant,1,6
cousin,2,6 52
reservation,1,6
defunkt,1,6
pistol,1,6
pay,7,6 16 34 35 42 52 57
punk,1,6
feeling,5,6 9 16 27 60
stay,13,6 9 15 20 23 26 34 42 45 47 48 54 55
best,4,6 15 29 54
friend,5,6 7 8 54 58
side,5,6 13 23 28 45
living,6,6 11 42 43 49 63
west,1,6
end,8,6 8 9 15 23 29 35 52
knocked,1,6
better,7,6 8 15 27 38 44 48
truth,4,6 17 42 50
write,2,6 59
message,1,6
pavement,1,6
burn,3,6 16 52
bright,2,6 54
wonder,3,6 11 23
wave,2,6 44
meant,3,6 27 61
white,5,6 18 33 45 51
heat,5,6 24 42 52 53
screaming,2,6 15
motion,2,6 22
stumble,1,6
ask,2,6 47
dust,1,6
answers,1,6
strong,4,6 14 18 46
50,2,6 42
belly,1,6
dancers,1,6
tears,3,6 16 19
drop,2,6 15
part,3,6 8 26
trains,1,6
hop,1,6
sweetheart,1,6
bleeding,1,6
snow,1,6
cone,1,6
smart,1,6
shes,11,6 17 29 34 35 37 38 47 51 56 63
leading,1,6
ozone,1,6
great,2,6 28
communicator,1,6
use,6,6 10 12 27 40 61
two,8,6 7 9 14 15 31 36 52
sticks,3,6 21 42
nature,1,6
into,8,6 8 15 16 35 36 54 62
penetration,1,6
gender,1,6
generation,1,6
birth,1,6
nation,1,6
worth,2,6 39
weight,3,6 9 52
gold,3,6 16 33
meditation,1,6
chapters,1,6
going,6,6 25 35 49 54 64
close,8,6 9 15 23 40 42 45 60
smoke,3,6 35 42
rings,1,6
blow,3,6 15 39
spaceship,1,6
persevering,1,6
everything,6,6 15 49 54 59 60
steering,1,6
spirits,1,6
they,11,6 9 14 15 16 23 24 34 40 42 54
mop,1,6
tops,1,6
are,17,6 12 13 15 16 22 23 25 26 29 31 39 40 43 47 49 53
feed,2,6 15
j,1,6
butterfly,1,6
treetop,1,6
birds,1,6
meaning,1,6
bebop,1,6
wait,3,6 30 33
minute,4,6 33 40 54
passing,1,6
or,11,6 8 10 11 15 34 48 51 57 61 62
far,2,6 40
more,14,6 8 15 23 26 30 36 37 40 41 42 49 52 61
shocking,1,6
than,8,6 8 23 27 33 39 40 54
anything,2,6 15
knew,6,6 25 37 39 46 52
reasons,1,6
why,12,6 17 26 28 29 31 37 39 40 52 55 63
somebody,3,6 10 52
new,6,6 7 10 15 25 58
right,14,6 10 15 18 23 25 30 36 37 41 42 44 50 54
cue,1,6
kickstart,1,6
golden,1,6
generator,1,6
talk,6,6 10 13 30 37 57
intimidate,1,6
her,9,6 34 35 38 40 47 57 61 63
gods,1,6
engineering,1,6
interfering,1,6
image,1,6
dictionary,1,6
ordinary,1,6
maybe,7,6 8 25 39 51 63 64
three,4,6 7 8 52
these,5,6 8 15 30 55
space,5,6 17 39 40 62
teach,1,6
pleiades,1,6
readthrough,1,6
rules,1,7
dua,1,7
lipa,1,7
2017,3,7 25 32
talkin,2,7 52
makin,1,7
crazy,5,7 17 37 54 59
mind,11,7 15 27 28 29 30 40 52 53 61 63
wrote,3,7 15 42
read,2,7 34
hopin,1,7
would,8,7 14 15 20 23 40 47 48
save,3,7 23 40
many,3,7 24 30
times,5,7 10 14 15 24
nobody,6,7 34 37 40 50 60
else,3,7 48 61
doesnt,5,7 18 50 55 57
pick,2,7 13
phone,2,7 64
hes,7,7 15 34 35 42 50 57
only,15,7 9 11 14 15 19 20 30 35 38 39 51 52 53 61
callin,3,7 23 48
alone,5,7 30 46 51 58
him,5,7 15 34 46 50
kick,1,7
again,9,7 15 19 27 30 39 41 42 50
his,12,7 15 17 19 24 34 35 41 46 50 52 57
wake,7,7 9 40 42 45 52 54
bed,3,7 35 54
mornin,1,7
under,8,7 8 18 23 39 48 60 62
aint,15,7 13 23 30 31 36 37 40 42 48 49 52 54 55 60
gettin,3,7 52 60
over,6,7 9 15 25 26 44
count,2,7 16
them,10,7 12 24 26 33 36 39 40 42 47
pushin,1,7
forwards,1,7
keeps,3,7 15 30
pullin,1,7
backwards,1,7
nowhere,4,7 10 23 60
standin,1,7
see,19,7 8 10 16 23 31 36 37 38 41 42 47 50 51 55 58 60 63 64
pattern,1,7
learn,1,7
practice,1,7
perfect,5,7 36 39 42 56
tryna,2,7 64
eat,2,7 52
breathe,1,7
rehearse,1,7
repeat,1,7
whoaooh,1,7
whoa,3,7 16 57
umbrella,1,8
rihanna,1,8
jayz,2,8 52
2007,1,8
r&b,3,8 20 45
uhhuh,2,8 41
gone,6,8 13 30 50 53 64
bad,6,8 13 17 42 51 59
action,1,8
hov,2,8 52
clouds,1,8
stones,2,8 21
rain,2,8 61
hydroplane,1,8
bank,2,8 34
dow,1,8
jones,1,8
rocafella,1,8
fly,7,8 40 42 43 45 60 62
higher,1,8
weather,1,8
g5s,1,8
anticipation,1,8
precipitation,1,8
stack,2,8 24
chips,1,8
rainy,1,8
day,10,8 10 15 18 40 42 47 52 54 57
jay,1,8
miss,3,8 15 54
sunshine,4,8 17 60 61
where,7,8 9 14 26 40 46 51
worlds,2,8 31
apart,2,8 31
magazines,2,8 36
star,2,8 26
dark,6,8 16 23 28 43 45
shiny,1,8
cars,2,8 42
there,10,8 15 16 18 23 46 49 53 54 57
share,2,8 23
because,7,8 17 35 36 50 52 63
sun,7,8 23 40 45 48 54 64
shine,4,8 39 54 58
together,3,8 22 23
told,7,8 15 16 36 52 54 63
here,13,8 15 17 23 25 26 29 36 37 45 50 53 56
said,10,8 28 30 33 36 46 51 52 61 64
took,4,8 24 26 41
oath,1,8
stick,2,8 18
raining,1,8
each,2,8 57
stand,5,8 23 30 41 55
ella,1,8
eh,1,8
eheh,1,8
fancy,2,8 42
between,3,8 15 23
entity,1,8
infinity,1,8
war,1,8
has,7,8 15 19 26 29 44 50
dealt,1,8
cards,3,8 34 39
hard,9,8 11 15 29 34 37 40 42 49
mend,1,8
arms,4,8 15 30 41
okay,5,8 10 40 47 57
alarmed,1,8
theres,12,8 11 15 16 23 26 27 28 38 39 40 47
distance,3,8 24 31
our,7,8 24 27 29 37 60 62
pour,1,8
pouring,1,8
avicii,1,9
2013,2,9 17
edm/folk,1,9
true,7,9 26 27 45 55 61 62
through,9,9 15 16 23 35 39 42 60 64
darkness,2,9 23
guided,1,9
beating,2,9 16
journey,1,9
start,5,9 23 25 34 39
caught,4,9 15 50 59
pass,2,9 15
open,7,9 16 23 35 39 50 53
eyes,10,9 19 23 35 40 45 47 50 53 60
wiser,1,9
older,3,9 26 45
finding,1,9
didnt,5,9 37 41 50 58
lost,3,9 41 42
tried,3,9 42 61
carrying,1,9
hope,6,9 11 15 20 23 27
travel,2,9 12
wish,6,9 16 20 26 50 56
could,14,9 14 22 27 37 39 45 46 47 48 53 55 59 64
afraid,1,9
lifes,2,9 42
game,5,9 30 34 42 52
made,5,9 12 27 40 41
everyone,3,9 26 48
prize,1,9
stayin’,1,10
alive,4,10 23 24 45
bee,1,10
gees,1,10
1977,2,10 58
disco,1,10
saturday,2,10 33
fever,3,10 13 16
soundtrack,5,10 15 20 42 60
walk,6,10 13 23 37 41 59
womans,1,10
loud,3,10 15 21
women,1,10
warm,3,10 14 54
been,17,10 14 15 19 25 26 29 34 35 39 42 46 50 54 57 63 64
kicked,1,10
since,3,10 41 42
born,4,10 44 50 62
may,5,10 11 15 21 43
try,7,10 11 23 38 42 52 63
york,1,10
effect,1,10
whether,2,10 42
brother,1,10
mother,1,10
stayin,2,10 24
city,4,10 33 52 60
breakin,1,10
everybody,3,10 50 60
shakin,1,10
ah,7,10 23 33 39 53 54 61
ha,1,10
low,5,10 26 27 29 50
high,7,10 13 17 50 54 60 62
either,1,10
really,5,10 13 37 50 51
wings,2,10 43
heaven,2,10 11
shoes,2,10 58
dancin,3,10 46 60
live,6,10 11 30 41 52 57
another,8,10 15 38 40 42 43 46 53
help,2,10 16
imagine,2,11 60
john,2,11 27
lennon,1,11
1971,1,11
easy,9,11 15 18 26 30 38 45 49 50
hell,6,11 19 23 42 49 56
below,1,11
us,4,11 16 29 37
above,4,11 20 40 45
sky,5,11 28 39 45 64
people,1,11
today,1,11
countries,1,11
isnt,2,11 34
nothing,7,11 17 21 40 42 49 50
kill,2,11 52
religion,1,11
peace,1,11
dreamer,1,11
someday,3,11 57 63
join,1,11
as,11,11 15 16 18 22 23 39 48 50 59 63
possessions,1,11
greed,1,11
hunger,1,11
brotherhood,1,11
sharing,1,11
dreams,5,12 24 53 57 61
eurythmics,1,12
1983,3,12 27 63
synthpop,1,12
am,11,12 19 21 28 31 33 40 42 55 56 63
disagree,1,12
seven,2,12 48
seas,2,12 37
everybodys,2,12 15
looking,4,12 27 43 63
something,6,12 23 33 40 45 54
abuse,1,12
abused,1,12
head,7,12 16 35 44 45 50 62
movin,4,12 46 52 60
michael,3,13 23 45
jackson,5,13 23 33 41 45
1987,1,13
heehee,1,13
gon,4,13 33 42 52
ow,2,13 46
hee,1,13
hey,11,13 17 25 29 32 33 36 37 49 59 64
heels,1,13
known,5,13 15 24 26 42
product,2,13 15
loveliness,1,13
groove,2,13 48
dress,3,13 25 35
miles,2,13 40
car,2,13 52
paint,1,13
town,3,13 21 52
kiss,7,13 33 34 35 45 47 59
twice,1,13
knock,1,13
feet,7,13 15 24 39 42 54 60
lonely,6,13 14 15 26 27 55
days,1,13
givin,2,13 61
ecstasy,1,13
workin,2,13 36
nine,1,13
five,1,13
buy,4,13 15 52 63
felt,1,13
promise,3,13 34 40
forevermore,1,13
swear,2,13 57
keepin,1,13
satisfied,1,13
achaooh,1,13
nobodys,2,13 49
business,2,13 40
babys,1,13
choocoo,1,13
heeheehee,1,13
caroline,1,14
neil,1,14
diamond,1,14
1969,2,14 41
began,1,14
begin,1,14
then,13,14 19 33 36 40 41 42 45 47 52 53 61 63
growin,1,14
spring,1,14
became,1,14
summer,3,14 22 45
whod,1,14
youd,5,14 26 27 38 45
along,6,14 17 19 36 51 53
touchin,1,14
reachin,1,14
touching,3,14 35 53
seemed,2,14 61
inclined,1,14
seem,5,14 17 37 40 55
fill,2,14 33
hurt,2,14 55
hurtin,1,14
runs,1,14
shoulders,1,14
holdin,1,14
yourself,1,15
eminem,2,15 42
rap,2,15 42
8,1,15
mile,1,15
shot,2,15 57
opportunity,1,15
seize,1,15
wanted,1,15
moment,2,15 53
capture,1,15
slip,1,15
yo,2,15 32
palms,1,15
sweaty,1,15
knees,3,15 38 51
weak,1,15
vomit,1,15
sweater,1,15
already,5,15 25 39 40 60
moms,2,15 42
spaghetti,1,15
nervous,1,15
surface,1,15
looks,2,15 23
calm,1,15
ready,4,15 18 25 57
bombs,1,15
forgetting,1,15
whole,5,15 26 37 40 47
crowd,3,15 26 41
goes,4,15 45 54 60
opens,1,15
mouth,1,15
words,3,15 30 48
choking,2,15 35
joking,1,15
clocks,1,15
blaow,1,15
snap,1,15
reality,2,15 50
gravity,1,15
rabbit,1,15
choked,1,15
mad,4,15 37 51 52
knows,3,15 51 63
backs,1,15
ropes,2,15 37
matter,6,15 18 30 31 46 50
dope,1,15
broke,1,15
stagnant,1,15
mobile,1,15
home,9,15 16 25 42 46 54 57 58 60
lab,1,15
rhapsody,2,15 50
